RMP_JH_201500609_grk_MCP-Dendra_oocyte_stg5_NC_Green_Red_100xSI_ZT_158_R3D_D3D_snapshpot_01.jpg,centroids
0,0.25,63.5
1,0.61538461538461542,146.69230769230768
2,1.2857142857142858,316.5
3,0.2857142857142857,370.14285714285717
4,0.375,388.0
5,14.384615384615385,182.61538461538461
6,18.75,244.08333333333334
7,22.18181818181818,289.18181818181819
8,23.0,96.0
9,25.75,191.625
10,26.0,0.5
11,34.07692307692308,357.0
12,32.25,430.5
13,35.5,462.66666666666669
14,37.5,549.75
15,40.5,398.25
16,43.0,185.5
17,46.875,137.875
18,48.608695652173914,406.13043478260869
19,49.918918918918919,271.64864864864865
20,49.375,153.125
21,53.458333333333336,160.58333333333334
22,52.5,373.0
23,58.5,126.71428571428571
24,60.0,71.5
25,59.5,229.0
26,65.0,356.66666666666669
27,67.36363636363636,172.09090909090909
28,76.75,541.29999999999995
29,80.0,240.5
30,80.166666666666671,321.16666666666669
31,83.84615384615384,417.84615384615387
32,86.5,217.5
33,89.0,350.5
34,93.400000000000006,327.39999999999998
35,97.5,112.5
36,98.5,298.0
37,106.6875,230.3125
38,107.0,20.0
39,110.5,372.0
40,110.5,543.5
41,111.875,19.125
42,112.5,142.0
43,113.5,342.5
44,115.2,526.20000000000005
45,116.2,128.59999999999999
46,118.33333333333333,447.5
47,119.8125,538.3125
48,127.40000000000001,323.13333333333333
49,126.64285714285714,388.78571428571428
50,133.19999999999999,342.0
51,133.66666666666666,237.16666666666666
52,134.0,496.5
53,137.15384615384616,240.0
54,142.0,286.0
55,142.875,484.875
56,145.75,321.5
57,153.0,243.5
58,152.0,296.5
59,155.13333333333333,309.06666666666666
60,157.73333333333332,202.93333333333334
61,156.5,275.5
62,157.5,357.5
63,159.25,439.0
64,159.125,232.875
65,158.5,252.0
66,160.83333333333334,327.38888888888891
67,162.5,206.5
68,166.125,462.0
69,166.0,435.5
70,168.46666666666667,351.13333333333333
71,169.25,396.625
72,167.80000000000001,477.80000000000001
73,172.80000000000001,282.10000000000002
74,177.5,271.97727272727275
75,176.5,406.0
76,182.05555555555554,329.88888888888891
77,183.0,422.0
78,183.80000000000001,176.80000000000001
79,188.11111111111111,188.66666666666666
80,192.39130434782609,369.52173913043481
81,194.5,548.11111111111109
82,194.5,245.0
83,205.38461538461539,236.38461538461539
84,204.59999999999999,374.39999999999998
85,204.125,540.125
86,205.85714285714286,328.57142857142856
87,213.5,421.75
88,217.77777777777777,286.66666666666669
89,219.66666666666666,29.333333333333332
90,222.0,278.92307692307691
91,222.33333333333334,101.55555555555556
92,224.5,331.16666666666669
93,223.5,154.5
94,226.94871794871796,400.28205128205127
95,231.625,249.8125
96,234.14285714285714,436.66666666666669
97,236.0,130.5
98,239.88,123.26666666666667
99,240.5,271.60000000000002
100,238.66666666666666,215.55555555555554
101,243.38888888888889,72.333333333333329
102,245.42857142857142,193.42857142857142
103,251.71428571428572,203.92857142857142
104,251.57142857142858,433.28571428571428
105,255.23076923076923,224.76923076923077
106,258.5,217.5
107,258.36842105263156,377.78947368421052
108,264.8125,434.1875
109,269.30434782608694,403.95652173913044
110,268.5,222.5
111,270.5,448.0
112,278.5,156.5
113,288.56666666666666,349.38333333333333
114,288.0,178.0
115,292.80000000000001,188.19999999999999
116,292.125,541.875
117,294.23076923076923,537.07692307692309
118,298.69999999999999,478.14999999999998
119,298.5,15.0
120,302.5,521.5
121,304.53333333333336,536.66666666666663
122,304.5,22.5
123,305.5,487.0
124,307.0,84.0
125,308.0,268.5
126,310.0,228.19999999999999
127,314.64285714285717,134.21428571428572
128,310.5,504.5
129,312.36363636363637,482.81818181818181
130,313.38461538461536,388.61538461538464
131,314.75,200.25
132,315.5625,526.4375
133,316.5,112.5
134,322.38461538461536,287.38461538461536
135,322.5,180.5
136,326.0,372.0
137,326.5,243.5
138,328.85714285714283,86.0
139,329.0,163.25
140,334.5,182.75
141,334.125,236.125
142,333.60000000000002,311.39999999999998
143,335.61538461538464,525.0
144,335.22222222222223,485.22222222222223
145,338.0,533.5
146,340.94999999999999,252.5
147,339.63636363636363,427.63636363636363
148,341.0,390.39999999999998
149,340.14285714285717,516.0
150,341.88888888888891,229.0
151,343.0,529.0
152,342.5,16.5
153,344.875,183.875
154,345.8125,243.625
155,349.375,162.75
156,355.78571428571428,210.5952380952381
157,349.5,44.5
158,350.55555555555554,396.22222222222223
159,356.19999999999999,469.5
160,360.28571428571428,126.28571428571429
161,364.0,508.5
162,366.25,407.0
163,369.71428571428572,247.28571428571428
164,369.71428571428572,309.5
165,375.33333333333331,465.0
166,375.0,481.5
167,376.625,107.875
168,379.0,337.0625
169,378.125,254.125
170,391.41025641025641,235.48717948717947
171,393.0,88.214285714285708
172,395.75,200.84999999999999
173,394.0,477.0
174,397.71428571428572,0.5714285714285714
175,400.5,19.0
176,406.39999999999998,25.657142857142858
177,403.80000000000001,323.80000000000001
178,406.28571428571428,76.571428571428569
179,411.0,204.15384615384616
180,413.21052631578948,548.89473684210532
181,416.16666666666669,501.83333333333331
182,419.125,252.125
183,420.39999999999998,61.799999999999997
184,420.5,290.5
185,423.70833333333331,210.79166666666666
186,423.5,299.25
187,424.41666666666669,131.83333333333334
188,424.55555555555554,191.77777777777777
189,424.5,303.0
190,424.57142857142856,369.28571428571428
